user.screen_name,text,coordinates
ChefVictorLA,b'@realmartymar laughing at this. So funny. Grew up with ya man! #respect #legend #oneofakind #Inspiration\xe2\x80\xa6 https://t.co/VXBoQbXVTB',
WigginAndrew,b'Baby and Kids Fails  FUNNY  COMPILATION Vol 4 clip43\nHere are some Baby  Kids Fails  FUNNY BABY FAILS  Videos. I... https://t.co/2jQtVrodzr',
patrickadah13,b'@UNIONBANK_NG in 2  days I have recieved N16 derbit SMS alert charges I did not apply for neither Have I received one. This is is not funny',
hadleyrachelle_,b'@Baaailley @Father______ @_marie_sings_ Not funny what so ever to mock a culture but ignorance is bliss i guess tha\xe2\x80\xa6 https://t.co/EPydUWtS6w',
Vintrouble,b'@thatgirlondeck I can only imagine. Nothing good can come from that. No one is that funny.',
Ej_Boykin,b'Shit funny people was watching did nothing',
rellalic0us_,"b""It's so funny hearing the freshman talk about there little drama \xf0\x9f\x92\x80""",
Larrysspouses,"b'Harry Styles did not get suspended hundreds of feet off the ground for the guy on the news to say it was ""funny""'",
Wowws_,b'Is this who Beyonc\xc3\xa9 got her Single Ladies video idea from? Has to be. https://t.co/3CdZCOoNqO',
hameunjung17,b'@tenshi_Eunjung I would say Brooklyn nine nine..it funny',
